recorded_at,tag,asset,download_count
2026-07-29T03:45:00Z,v0.3.0,latest-mac.yml,2
2026-07-29T03:45:00Z,v0.4.0,latest-mac.yml,6
2026-07-29T03:45:00Z,v0.4.0,latest.yml,1
2026-07-29T03:45:00Z,v1.0.0,latest-mac.yml,3
2026-07-29T03:45:00Z,v1.0.0,latest.yml,2
2026-07-29T03:45:00Z,v1.1.0,latest-mac.yml,2
2026-07-29T03:45:00Z,v1.1.0,latest.yml,2
2026-07-29T03:45:00Z,v1.1.1,latest-mac.yml,3
2026-07-29T03:45:00Z,v1.1.1,latest.yml,1
2026-07-29T03:45:00Z,v1.1.2,latest-mac.yml,18
2026-07-29T03:45:00Z,v1.1.2,latest.yml,5
2026-07-29T03:45:00Z,v1.1.3,latest-mac.yml,2
2026-07-29T03:45:00Z,v1.1.3,latest.yml,2
